fieldID,fieldName,fieldType,defaultValue,secondaryValue,fieldDescription,minValue,maxValue,tab
injury_heading,Injuries,Header,Injuries,,,,,Injuries
injury_rate,Injury Chance,Double,50,,"Percentage chance that an officer will be injured.
An officer has to be fatigued before they will be injured.",0,100,Injuries
injury_duration,Injury Base Length,Double,10,,"The base duration of injuries before randomisation.",,,Injuries
injury_variance,Injury Duration Variation,Double,4,,"The maximum amount injury base duration will be increased or decreased by.
Thus, the duration of all injuries is randomly and evenly distributed in the interval:
(Injury Base Duration — Injury Duration Variation) <= Injury Duration <= (Injury Base Duration + Injury Duration Variation)",,,Injuries

injury_extension_rate,Injury Extend Chance,Double,50,,"Percentage chance that the duration of an existing injury (if it exists) on an officer will be increased if there are no skills left to remove from an officer.
If this check fails then a Grave Injury will be inflicted on the officer instead. Increasing this value correspondingly reduces the chance officers will die when badly wounded.",,,Injuries

death_rate,Death Chance,Double,10,,"Percentage chance that an officer will be die if they suffer a Grave Injury whilst already Gravely Injured.
Thus, if an officer is already Gravely Injured, the chance they will die is:
Fatigue Chance x Injury Chance x (1 - Injury Extend Chance) x Death Chance",0,100,Injuries

fatigue_heading,Fatigue,Header,Fatigue,,,,,Fatigue
fatigue_rate,Fatigue Chance,Double,100,,"Percentage chance that an officer will be fatigued after exhausting activities, like combat.
By default, officers are _always_ fatigued after combat.",0,100,Fatigue
fatigue_duration,Fatigue Base Duration,Double,5,,"The base duration of fatigue before randomisation.",,,Fatigue
fatigue_variance,Fatigue Duration Variation,Double,2,,"The maximum amount fatigue base duration will be increased or decreased by.
Thus, the duration of all injuries is randomly and evenly distributed in the interval:
(Fatigue Base Duration - Fatigue Duration Variation) <= Fatigue Duration <= (Fatigue Base Duration + Fatigue Duration Variation)",,,Fatigue
fatigue_extension_rate,Fatigue Extend Chance,Double,10,,"Percentage chance that an officer will be fatigued for longer instead of being injured, if they are already fatigued when engaging in an exhausting activity.",,,Fatigue
fatigue_toggle,Enable/Disable Fatigue,Boolean,true,,"Toggle to disable or re-enable the fatigue mechanic",,,Fatigue
